Recette,Ingrédients,Temps_de_cuisson,Niveau_de_difficulté,Type_de_repas,Régime,Pays,Temps_total,Épices/Saveurs
Ndolé 1,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 1,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Sucré"
Eru 1,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Achu 1,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Mbongo Tchobi 1,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 1,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Koki 1,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Épicé
Bobolo 1,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Neutre
Brochettes de viande 1,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Cameroun,quarante-cinq minutes,Épicé
Banane plantain frit 1,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Cameroun,vingt minutes,Sucré
Jollof rice 1,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Egusi soup 1,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 1,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Aromatique"
Thieboudienne 1,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 1,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ugali 1,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Supu ya nyama 1,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 1,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 1,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ndolé 2,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 2,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Sucré"
Eru 2,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Achu 2,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Mbongo Tchobi 2,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 2,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Koki 2,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Épicé
Bobolo 2,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Neutre
Brochettes de viande 2,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Nigéria,quarante-cinq minutes,Épicé
Banane plantain frit 2,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Nigéria,vingt minutes,Sucré
Jollof rice 2,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Egusi soup 2,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 2,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Aromatique"
Thieboudienne 2,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 2,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ugali 2,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Supu ya nyama 2,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 2,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 2,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ndolé 3,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 3,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Sucré"
Eru 3,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Achu 3,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Mbongo Tchobi 3,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 3,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Koki 3,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Épicé
Bobolo 3,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Neutre
Brochettes de viande 3,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Sénégal,quarante-cinq minutes,Épicé
Banane plantain frit 3,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Sénégal,vingt minutes,Sucré
Jollof rice 3,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Egusi soup 3,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 3,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Aromatique"
Thieboudienne 3,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 3,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ugali 3,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Supu ya nyama 3,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 3,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 3,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ndolé 4,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 4,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Sucré"
Eru 4,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Achu 4,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Mbongo Tchobi 4,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 4,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Koki 4,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Épicé
Bobolo 4,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Neutre
Brochettes de viande 4,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Ouganda,quarante-cinq minutes,Épicé
Banane plantain frit 4,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Ouganda,vingt minutes,Sucré
Jollof rice 4,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Egusi soup 4,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 4,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Aromatique"
Thieboudienne 4,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 4,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ugali 4,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Supu ya nyama 4,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 4,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 4,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ndolé 5,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 5,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Sucré"
Eru 5,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Achu 5,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Mbongo Tchobi 5,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 5,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Koki 5,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Épicé
Bobolo 5,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Neutre
Brochettes de viande 5,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Kenya,quarante-cinq minutes,Épicé
Banane plantain frit 5,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Kenya,vingt minutes,Sucré
Jollof rice 5,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Egusi soup 5,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 5,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Aromatique"
Thieboudienne 5,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 5,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
Ugali 5,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Supu ya nyama 5,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 5,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 5,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
Ndolé 6,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 6,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Sucré"
Eru 6,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante-quinze minutes,"Épicé, Salé"
Achu 6,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,Épicé
Mbongo Tchobi 6,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 6,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Tanzanie,trente minutes,Neutre
Koki 6,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Tanzanie,soixante minutes,Épicé
Bobolo 6,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Tanzanie,soixante minutes,Neutre
Brochettes de viande 6,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Tanzanie,quarante-cinq minutes,Épicé
Banane plantain frit 6,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Tanzanie,vingt minutes,Sucré
Jollof rice 6,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,Épicé
Egusi soup 6,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 6,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Aromatique"
Thieboudienne 6,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 6,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quarante-cinq minutes,"Épicé, Salé"
Ugali 6,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Tanzanie,trente minutes,Neutre
Supu ya nyama 6,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 6,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 6,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quarante-cinq minutes,"Épicé, Salé"
Ndolé 7,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 7,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,"Épicé, Sucré"
Eru 7,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,soixante-quinze minutes,"Épicé, Salé"
Achu 7,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,Épicé
