Recette,Ingrédients,Temps_de_cuisson,Niveau_de_difficulté,Type_de_repas,Régime,Pays,Temps_total,Épices/Saveurs
Thieboudienne 19,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ghana,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 19,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ghana,quarante-cinq minutes,"Épicé, Salé"
Ugali 19,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ghana,trente minutes,Neutre
Supu ya nyama 19,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ghana,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 19,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ghana,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 19,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ghana,quarante-cinq minutes,"Épicé, Salé"
Ndolé 20,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 20,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Sucré"
Eru 20,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante-quinze minutes,"Épicé, Salé"
Achu 20,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,Épicé
Mbongo Tchobi 20,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 20,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Mali,trente minutes,Neutre
Koki 20,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Mali,soixante minutes,Épicé
Bobolo 20,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Mali,soixante minutes,Neutre
Brochettes de viande 20,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Mali,quarante-cinq minutes,Épicé
Banane plantain frit 20,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Mali,vingt minutes,Sucré
Jollof rice 20,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,Épicé
Egusi soup 20,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 20,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Aromatique"
Thieboudienne 20,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 20,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quarante-cinq minutes,"Épicé, Salé"
Ugali 20,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Mali,trente minutes,Neutre
Supu ya nyama 20,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 20,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 20,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quarante-cinq minutes,"Épicé, Salé"
Ndolé 21,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 21,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Sucré"
Eru 21,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Achu 21,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Mbongo Tchobi 21,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 21,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Koki 21,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Épicé
Bobolo 21,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Neutre
Brochettes de viande 21,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Cameroun,quarante-cinq minutes,Épicé
Banane plantain frit 21,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Cameroun,vingt minutes,Sucré
Jollof rice 21,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Egusi soup 21,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 21,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Aromatique"
Thieboudienne 21,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 21,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ugali 21,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Supu ya nyama 21,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 21,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 21,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ndolé 22,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 22,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Sucré"
Eru 22,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Achu 22,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Mbongo Tchobi 22,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 22,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Koki 22,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Épicé
Bobolo 22,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Neutre
Brochettes de viande 22,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Nigéria,quarante-cinq minutes,Épicé
Banane plantain frit 22,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Nigéria,vingt minutes,Sucré
Jollof rice 22,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Egusi soup 22,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 22,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Aromatique"
Thieboudienne 22,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 22,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ugali 22,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Supu ya nyama 22,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 22,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 22,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ndolé 23,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 23,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Sucré"
Eru 23,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Achu 23,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Mbongo Tchobi 23,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 23,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Koki 23,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Épicé
Bobolo 23,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Neutre
Brochettes de viande 23,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Sénégal,quarante-cinq minutes,Épicé
Banane plantain frit 23,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Sénégal,vingt minutes,Sucré
Jollof rice 23,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Egusi soup 23,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 23,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Aromatique"
Thieboudienne 23,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 23,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ugali 23,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Supu ya nyama 23,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 23,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 23,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ndolé 24,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 24,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Sucré"
Eru 24,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Achu 24,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Mbongo Tchobi 24,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 24,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Koki 24,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Épicé
Bobolo 24,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Neutre
Brochettes de viande 24,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Ouganda,quarante-cinq minutes,Épicé
Banane plantain frit 24,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Ouganda,vingt minutes,Sucré
Jollof rice 24,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Egusi soup 24,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 24,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Aromatique"
Thieboudienne 24,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 24,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ugali 24,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Supu ya nyama 24,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 24,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 24,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ndolé 25,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 25,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Sucré"
Eru 25,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Achu 25,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Mbongo Tchobi 25,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 25,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Koki 25,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Épicé
Bobolo 25,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Neutre
Brochettes de viande 25,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Kenya,quarante-cinq minutes,Épicé
Banane plantain frit 25,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Kenya,vingt minutes,Sucré
Jollof rice 25,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Egusi soup 25,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 25,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Aromatique"
Thieboudienne 25,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 25,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
Ugali 25,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Supu ya nyama 25,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 25,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 25,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
